Index,Name,Expansion,Min price,Exemplaires en vente,Rareté,mkm_url,expansion_release_date,Tournament_last_month,Price trend,Price 7 days,Price 30 days
2623,Lycanroc ex (PAL 241),Paldea-Evolved,"1,40 €",379,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Paldea-Evolved/Lycanroc-ex-V2-PAL241,"9TH JUNE, 2023",0.0,"2,18 €","2,14 €","2,15 €"
2624,Skiploom (PAL 002),Paldea-Evolved,"0,02 €",5985,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Paldea-Evolved/Skiploom-PAL002,"9TH JUNE, 2023",,,,
2625,Eiscue (PAL 048),Paldea-Evolved,"0,02 €",5966,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Paldea-Evolved/Eiscue-V1-PAL048,"9TH JUNE, 2023",,,,
2626,Mismagius (PAL 088),Paldea-Evolved,"0,02 €",5775,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Paldea-Evolved/Mismagius-V1-PAL088,"9TH JUNE, 2023",,,,
2627,Glimmet (PAL 125),Paldea-Evolved,"0,02 €",3912,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Paldea-Evolved/Glimmet-PAL125,"9TH JUNE, 2023",,,,
2628,Sandygast (PAL 214),Paldea-Evolved,"3,00 €",180,Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Paldea-Evolved/Sandygast-V2-PAL214,"9TH JUNE, 2023",0.0,"5,65 €","5,53 €","5,33 €"
2629,Copperajah ex (PAL 245),Paldea-Evolved,"0,90 €",441,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Paldea-Evolved/Copperajah-ex-V2-PAL245,"9TH JUNE, 2023",0.0,"1,56 €","1,59 €","1,77 €"
2630,Chi-Yu ex (PAL 259),Paldea-Evolved,"17,39 €",195,Special Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Paldea-Evolved/Chi-Yu-ex-V3-PAL259,"9TH JUNE, 2023",6.0,"23,20 €","23,41 €","22,21 €"
2631,Tarountula (PAL 017),Paldea-Evolved,"0,02 €",4118,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Paldea-Evolved/Tarountula-PAL017,"9TH JUNE, 2023",,,,
2632,Squawkabilly ex (PAL 264),Paldea-Evolved,"9,00 €",194,Special Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Paldea-Evolved/Squawkabilly-ex-V3-PAL264,"9TH JUNE, 2023",439.0,"12,06 €","12,16 €","11,74 €"
